epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9471,2.43076,3.04354,3.48919,0.31438,0.8471,0.33612,0.32781,0.54672,74.1719,0.98218,0.000552788,0.000552788,0.000552788
2,105.113,1.242,1.92729,1.93063,0.31548,0.994,0.35227,0.33656,0.40177,42.4936,0.56847,0.00108651,0.00108651,0.00108651
3,147.276,0.71087,1.27093,1.3416,0.31832,0.99255,0.34889,0.32894,0.35553,38.4292,0.48195,0.00159822,0.00159822,0.00159822
4,192.312,0.47367,1.055,1.12438,0.31833,0.99645,0.35146,0.34136,0.23894,50.9566,0.3532,0.00156798,0.00156798,0.00156798
5,236.641,0.37035,0.95726,1.02784,0.31727,1,0.35104,0.33987,0.19419,40.5263,0.2875,0.00153497,0.00153497,0.00153497
6,283.095,0.30692,0.91594,0.9857,0.31795,0.99498,0.35065,0.33986,0.15982,44.8725,0.2508,0.00150197,0.00150197,0.00150197
7,333.458,0.26263,0.8887,0.9652,0.31746,1,0.39222,0.38807,0.10851,41.6519,0.18157,0.00146896,0.00146896,0.00146896
8,376.303,0.24232,0.87002,0.94585,0.31593,1,0.36597,0.36537,0.08083,48.3655,0.14753,0.00143595,0.00143595,0.00143595
9,419.658,0.21844,0.86301,0.93951,0.29413,0.99776,0.34755,0.32295,0.19249,40.0529,0.2426,0.00140295,0.00140295,0.00140295
10,461.334,0.20836,0.84469,0.93067,0.31974,0.99411,0.39058,0.38966,0.07703,39.2906,0.13846,0.00136994,0.00136994,0.00136994
11,502.527,0.18426,0.83557,0.92275,0.3175,1,0.3577,0.3577,0.0986,43.539,0.15521,0.00133693,0.00133693,0.00133693
12,544.917,0.16939,0.8258,0.91705,0.31707,1,0.3862,0.38617,0.07365,44.0208,0.13985,0.00130393,0.00130393,0.00130393
13,586.417,0.15416,0.81544,0.90556,0.31715,1,0.35672,0.35282,0.12184,37.9602,0.16252,0.00127092,0.00127092,0.00127092
14,627.087,0.15373,0.81195,0.90792,0.31659,1,0.3998,0.39971,0.07644,39.8183,0.1287,0.00123791,0.00123791,0.00123791
15,667.727,0.15145,0.80635,0.90271,0.32694,0.99246,0.4625,0.43942,0.14712,38.3241,0.19601,0.00120491,0.00120491,0.00120491
16,708.467,0.14737,0.78898,0.90453,0.39284,0.9028,0.56809,0.56495,0.09819,54.2353,0.14447,0.0011719,0.0011719,0.0011719
17,749.139,0.14725,0.73939,0.90542,0.52448,0.82729,0.62087,0.54393,0.19436,55.3856,0.25468,0.00113889,0.00113889,0.00113889
18,789.974,0.14528,0.70672,0.90588,0.51913,0.84586,0.6116,0.6099,0.07551,58.5658,0.11741,0.00110589,0.00110589,0.00110589
19,830.644,0.13502,0.65926,0.89929,0.59363,0.91664,0.64362,0.63786,0.09561,63.1559,0.12842,0.00107288,0.00107288,0.00107288
20,871.292,0.13075,0.61782,0.89691,0.565,0.83408,0.66454,0.66168,0.077,101.332,0.12156,0.00103987,0.00103987,0.00103987
